ts_utc,route_id,route_name,mode,n_vehicles,n_trips,median_delay_s,p90_delay_s,pct_on_time,pct_late,pct_early,n_alerts
2026-08-20T04:37:22Z,93,93 Parkview Hills,bus,1,0,,,,,,0
2026-08-20T04:37:22Z,94,94 Wellesley,bus,5,0,,,,,,1
2026-08-20T04:37:22Z,95,95 York Mills,bus,11,0,,,,,,1
2026-08-20T04:37:22Z,96,96 Wilson,bus,12,0,,,,,,0
2026-08-20T04:37:22Z,97,97 Yonge,bus,6,0,,,,,,1
2026-08-20T04:37:22Z,98,98 Willowdale-Senlac,bus,3,0,,,,,,0
2026-08-20T04:37:22Z,100,100 Flemingdon Park,bus,6,0,,,,,,1
2026-08-20T04:37:22Z,101,101 Downsview Park,bus,1,0,,,,,,0
2026-08-20T04:37:22Z,102,102 Markham Rd,bus,15,0,,,,,,0
2026-08-20T04:37:22Z,103,103 Mount Pleasant North,bus,1,0,,,,,,1
2026-08-20T04:37:22Z,104,104 Faywood,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,105,105 Dufferin North,bus,1,0,,,,,,1
2026-08-20T04:37:22Z,106,106 Sentinel,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,107,107 Alness-Chesswood,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,108,108 Driftwood,bus,5,0,,,,,,2
2026-08-20T04:37:22Z,109,109 Ranee,bus,2,0,,,,,,2
2026-08-20T04:37:22Z,110,110 Islington South,bus,3,0,,,,,,0
2026-08-20T04:37:22Z,111,111 East Mall,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,112,112 West Mall,bus,3,0,,,,,,1
2026-08-20T04:37:22Z,113,113 Danforth,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,114,114 Queens Quay East,bus,3,0,,,,,,1
2026-08-20T04:37:22Z,116,116 Morningside,bus,9,0,,,,,,0
2026-08-20T04:37:22Z,117,117 Birchmount South,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,118,118 Thistle Down,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,120,120 Calvington,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,121,121 Esplanade-River,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,122,122 Graydon Hall,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,123,123 Sherway,bus,4,0,,,,,,0
2026-08-20T04:37:22Z,124,124 Sunnybrook,bus,1,0,,,,,,0
2026-08-20T04:37:22Z,125,125 Drewry,bus,1,0,,,,,,0
2026-08-20T04:37:22Z,126,126 Christie,bus,0,0,,,,,,1
2026-08-20T04:37:22Z,127,127 Davenport,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,129,129 McCowan North,bus,9,0,,,,,,1
2026-08-20T04:37:22Z,130,130 Middlefield,bus,1,0,,,,,,1
2026-08-20T04:37:22Z,131,131 Nugget,bus,3,0,,,,,,1
2026-08-20T04:37:22Z,132,132 Milner,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,133,133 Neilson,bus,4,0,,,,,,1
2026-08-20T04:37:22Z,134,134 Progress,bus,2,0,,,,,,1
2026-08-20T04:37:22Z,135,135 Gerrard,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,149,149 Etobicoke-Bloor,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,151,151 Leslie North,bus,1,0,,,,,,0
2026-08-20T04:37:22Z,154,154 Curran Hall,bus,3,0,,,,,,0
2026-08-20T04:37:22Z,158,158 Trethewey,bus,2,0,,,,,,0
2026-08-20T04:37:22Z,161,161 Rogers Rd,bus,2,0,,,,,,0
